State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,"38,231,474","37,934,924","38,528,024",13.3,13.2,13.4,"13,360,273","13,217,771","13,502,775",18.5,18.4,18.7,"8,765,541","8,662,789","8,868,293",17,16.8,17.2,"46,242","46,138","46,346","4,242,948","4,187,205","4,298,691",21.3,21,21.5
1,0,AL,Alabama,"749,592","734,673","764,511",16.9,16.6,17.3,"260,919","252,894","268,944",24.3,23.6,25.1,"172,197","165,523","178,871",22.3,21.4,23.2,"36,936","36,431","37,441","83,890","79,692","88,088",28.6,27.2,30
1,1,AL,Autauga County,"5,020","4,134","5,907",10.4,8.6,12.3,"1,828","1,433","2,223",14.7,11.5,17.9,"1,228",947,"1,509",13.4,10.3,16.4,"45,019","41,396","48,643",,,,,,
1,3,AL,Baldwin County,"18,249","15,161","21,337",11.4,9.5,13.3,"6,778","5,525","8,031",18.9,15.4,22.4,"4,260","3,353","5,167",16.2,12.8,19.7,"42,804","40,201","45,407",,,,,,
1,5,AL,Barbour County,"5,694","4,720","6,667",22.4,18.5,26.2,"2,035","1,623","2,447",31.5,25.1,37.9,"1,377","1,084","1,670",29.1,22.9,35.3,"29,534","27,473","31,594",,,,,,
1,7,AL,Bibb County,"3,364","2,732","3,997",16.6,13.5,19.8,"1,223",955,"1,492",24.2,18.9,29.6,802,614,990,21.7,16.6,26.7,"34,212","31,739","36,686",,,,,,
1,9,AL,Blount County,"6,248","5,168","7,328",11.4,9.4,13.3,"2,160","1,717","2,603",16.7,13.3,20.2,"1,509","1,166","1,852",15.9,12.3,19.5,"40,588","37,786","43,391",,,,,,
1,11,AL,Bullock County,"3,628","2,904","4,353",38.2,30.6,45.9,"1,189",921,"1,457",46.1,35.7,56.5,801,610,992,43.6,33.2,53.9,"21,728","19,685","23,772",,,,,,
1,13,AL,Butler County,"4,722","3,824","5,620",23.1,18.7,27.5,"1,655","1,286","2,023",33.1,25.7,40.5,"1,111",851,"1,371",30.9,23.7,38.1,"28,058","25,561","30,555",,,,,,
1,15,AL,Calhoun County,"18,450","16,120","20,779",16.9,14.7,19,"5,906","4,859","6,954",23.8,19.5,28,"3,912","3,160","4,664",22.2,17.9,26.5,"35,937","33,701","38,172",,,,,,
