State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,"48,810,868","48,554,692","49,067,044",15.8,15.7,15.9,"16,086,960","15,948,844","16,225,076",22.2,22,22.4,"10,958,232","10,860,529","11,055,935",20.8,20.6,21,52250.00,"52,185","52,315","4,811,689","4,759,374","4,864,004",24.8,24.5,25.1
1,0,AL,Alabama,"889,091","873,141","905,041",18.9,18.6,19.2,"300,649","291,502","309,796",27.4,26.6,28.2,"205,023","197,115","212,931",25.6,24.6,26.6,42882.00,"42,260","43,504","92,126","87,734","96,518",31.6,30.1,33.1
1,1,AL,Autauga County,"7,397","6,109","8,685",13.5,11.1,15.9,"2,724","2,200","3,248",19.6,15.8,23.4,"1,855","1,429","2,281",17.6,13.6,21.6,51868.00,"48,314","55,422",.,.,.,.,.,.
1,3,AL,Baldwin County,"27,429","23,468","31,390",14.2,12.1,16.3,"8,994","7,400","10,588",20.8,17.1,24.5,"6,171","4,877","7,465",19.2,15.2,23.2,47539.00,"44,089","50,989",.,.,.,.,.,.
1,5,AL,Barbour County,"6,654","5,448","7,860",28.2,23.1,33.3,"2,393","1,987","2,799",42.4,35.2,49.6,"1,683","1,355","2,011",41.2,33.2,49.2,30981.00,"28,134","33,828",.,.,.,.,.,.
1,7,AL,Bibb County,"4,689","3,803","5,575",23.1,18.7,27.5,"1,664","1,395","1,933",35.6,29.9,41.3,"1,096",881,"1,311",31.4,25.2,37.6,39781.00,"36,433","43,129",.,.,.,.,.,.
1,9,AL,Blount County,"9,878","8,390","11,366",17.2,14.6,19.8,"3,637","3,088","4,186",26.6,22.6,30.6,"2,448","2,003","2,893",24.2,19.8,28.6,44392.00,"40,858","47,926",.,.,.,.,.,.
1,11,AL,Bullock County,"3,123","2,452","3,794",35.2,27.6,42.8,974,758,"1,190",44.2,34.4,54,684,518,850,44.4,33.6,55.2,25937.00,"23,458","28,416",.,.,.,.,.,.
1,13,AL,Butler County,"5,731","4,865","6,597",28.8,24.5,33.1,"1,864","1,550","2,178",39.8,33.1,46.5,"1,430","1,187","1,673",41.6,34.5,48.7,31041.00,"28,262","33,820",.,.,.,.,.,.
1,15,AL,Calhoun County,"24,338","21,584","27,092",21.4,19,23.8,"7,301","6,126","8,476",28.7,24.1,33.3,"5,060","4,111","6,009",27,21.9,32.1,37898.00,"35,135","40,661",.,.,.,.,.,.
